acc_x_mean,acc_x_std,acc_y_mean,acc_y_std,acc_z_mean,acc_z_std,acc_sma,dom_freq,spectral_energy,activity,sample_id,window_idx
5.998683976103561,-3.568651758510657,3.9181413355499806,5.503680749692456,4.7128291595691705,3.455712018439247,1012.9096936850561,0.0,23085.937582972205,jumping,jumping_01,0
8.285084910163976,-6.682331862699503,1.5816044058613103,6.099799219672134,5.1310975628912185,1.4329183249305628,1114.2080437943787,0.0,30496.881307594187,jumping,jumping_01,1
6.400945540780973,-6.661639374238674,2.038757407106459,6.660278522612371,6.05712611863064,2.100048036620098,1000.9504430549729,0.0,27441.55318990561,jumping,jumping_01,2
6.345711232285307,-6.697786994579465,2.217096715591697,6.677014826417079,5.8466410672828815,2.3314701704836507,997.9540382862626,0.0,27309.72292750684,jumping,jumping_01,3
6.556249447957133,-6.514074412484963,2.201602270506849,6.626164505935411,5.564521067429972,2.306981201722933,987.0804965614344,0.0,26716.875081189817,jumping,jumping_01,4
6.601796204732223,-6.698211487646055,2.163735550762427,6.479684829086986,5.4330708336838995,2.248892183658695,993.1906740461508,0.0,26763.439804518643,jumping,jumping_01,5
6.473742420888609,-6.825923856686462,2.0351953484644794,6.187900336874049,5.458350564883949,1.890586235316548,980.0483809547643,0.0,25967.59824254748,jumping,jumping_01,6
6.494551198350059,-6.964583747389943,1.6041851479447249,6.113562998661463,5.555020157263528,1.4292567204740332,988.7205978287506,0.0,26063.918921701268,jumping,jumping_01,7
6.46681016006253,-7.122032689551513,1.32876281395103,6.749522814523629,6.016327664045102,1.178481911730061,1016.0737158761328,0.0,27995.575936441015,jumping,jumping_01,8
6.437998069205669,-6.934680988767532,1.3169754441037322,7.49583824232457,6.4696433069021975,1.3675748054125538,1030.4397478298354,0.0,29652.706477453954,jumping,jumping_01,9
6.643230946809806,-6.965872339753791,1.489591007581865,7.322744845930678,6.49549382200858,1.581239408762319,1034.484602124398,0.0,29935.376549161065,jumping,jumping_01,10
6.773558228888144,-6.982558627095488,1.4482287090610375,6.996660248501568,6.489031328329995,1.4487616989907728,1030.7709446367908,0.0,29531.7094928045,jumping,jumping_01,11
8.448502334004099,-6.8049262441468965,1.3462769513916826,6.935753886957685,5.597895866254491,1.4719749482775248,1139.5909045181568,0.0,33027.07716260647,jumping,jumping_01,12
5.249620216738696,-3.3271050882158857,4.068020569050045,6.754973869531218,4.8542641705554,3.1963241760914176,984.7145446008851,0.0,23118.321197810586,jumping,jumping_01,13
5.321799208720525,-2.972591193185912,4.644219498968486,6.850013154426031,4.486752135456451,3.0815001199318246,921.8522760758236,0.0,21976.232538211207,jumping,jumping_02,0
7.427590346998638,-5.918649815549754,3.3021194307942583,7.094993411655916,5.004991833401391,2.798456931815132,1030.194785459347,0.0,28968.041363795244,jumping,jumping_02,1
6.501253782498716,-6.581893719808019,2.7730442890615175,6.186629973333503,5.779400815454097,2.623540696971791,979.65086994617,0.0,26705.844516144538,jumping,jumping_02,2
6.605889945319205,-6.608850756979952,2.6420719930619905,6.239732258868462,5.843716029899919,2.518443890893497,1005.6241520747807,0.0,27413.334020930004,jumping,jumping_02,3
6.536381792841536,-6.795874623591175,2.486476582710189,6.287641919923883,6.086557139945419,2.1950450511975794,1025.8448471176844,0.0,28102.157940305256,jumping,jumping_02,4
6.587534422751027,-7.029215634951011,1.976279663467648,6.48838716977615,6.321237288487109,1.843545262099448,1022.4333974265546,0.0,28593.29167733497,jumping,jumping_02,5
6.6472295614881345,-7.027421001156773,1.6648818946848012,6.561606550327067,6.42814665964392,1.5643112618307453,1023.9216607232042,0.0,28723.097308951226,jumping,jumping_02,6
6.591705201212505,-7.223511594940316,1.4592471789531034,6.346123386028823,6.362331589722059,1.5420661077123343,1024.9448616566606,0.0,28519.266126609502,jumping,jumping_02,7
